Month,Year,Volume In Thousands Liters,Days in Cycle,Avg Daily Water Use in Liters
11,2024,10,29,344
10,2024,11,30,366
9,2024,7,32,218
8,2024,10,30,333
7,2024,7,33,212
6,2024,11,30,366
5,2024,9,30,300
4,2024,8,33,242
3,2024,17,27,629
2,2024,11,30,366
1,2024,6,29,206
12,2023,13,32,406
11,2023,16,30,533
10,2023,13,33,393
9,2023,9,30,300
8,2023,11,32,343
7,2023,19,31,612
6,2023,13,33,393
5,2023,13,29,448
4,2023,16,28,571
3,2023,5,33,151
2,2023,7,28,250
1,2023,10,30,333
12,2022,10,33,333
11,2022,28,29,966
10,2022,11,30,367
9,2022,25,32,781
8,2022,28,30,933
7,2022,21,30,700
6,2022,18,31,581
5,2022,34,30,1133
4,2022,26,33,788
3,2022,13,28,464
2,2022,39,29,1345
