ski.names,country
Bjorn Ricci,Norway
Johann Schneider,Norway
Leo Schneider,Norway
Bjorn Weber,Norway
Hans Novak,Norway
Olga Stahl,Finland
Olga Ricci,Finland
Leo Berger,Finland
Felix Ricci,Finland
Hans Lang,Finland
Petra Berger,Germany
Lars Ricci,Germany
Anna Volkov,Germany
Hans Muller,Germany
Leo Huber,Germany
Petra Berger,Austria
Karl Kovac,Austria
Hans Schneider,Austria
Felix Berger,Austria
Hans Stahl,Austria
Kari Novak,Italy
Johann Weber,Italy
Johann Weber,Italy
Karl Novak,Italy
Johann Berger,Italy
Hans Weber,Belarus
Kari Schneider,Belarus
Felix Virtanen,Belarus
Leo Hansen,Belarus
Petra Kovac,Belarus
Sven Muller,Switzerland
Kari Huber,Switzerland
Anna Schneider,Switzerland
Mika Hansen,Switzerland
Emma Volkov,Switzerland
Bjorn Lang,Slovenia
Kari Weber,Slovenia
Sven Schneider,Slovenia
Sven Virtanen,Slovenia
Olga Muller,Slovenia
Emma Schneider,Sweden
Karl Stahl,Sweden
Nina Virtanen,Sweden
Olga Stahl,Sweden
Karl Kovac,Sweden
Felix Kovac,Denmark
Johann Schneider,Denmark
Kari Stahl,Denmark
Karl Ricci,Denmark
Hans Fischer,Denmark
