"","ski.names","country","Practice","Jump1","Jump2","Jump3","AvgJump","DNC"
"1","Bjorn Ricci","Norway",111.1,110.9,101.4,107.3,107.7,TRUE
"2","Johann Schneider","Norway",124.5,114.5,117.5,105.2,115.4,TRUE
"3","Leo Schneider","Norway",121,116.6,104.4,115.5,114.4,TRUE
"4","Bjorn Weber","Norway",115.4,101.5,110.3,124.4,112.9,TRUE
"5","Hans Novak","Norway",107.3,113.7,105,108.9,108.7,TRUE
"6","Olga Stahl","Finland",99.2,103.9,109.5,107.7,105.1,TRUE
"7","Olga Ricci","Finland",95.7,129.7,109.2,101.4,109,TRUE
"8","Leo Berger","Finland",120.5,95.7,126.6,109.7,113.1,TRUE
"9","Felix Ricci","Finland",110.1,116.6,108.6,107,110.6,TRUE
"10","Hans Lang","Finland",102.2,119.4,118,128.7,117.1,TRUE
"11","Petra Berger","Germany",106.5,119.8,98.7,104.2,107.3,TRUE
"12","Lars Ricci","Germany",114.9,119.1,117,105.6,114.2,TRUE
"13","Anna Volkov","Germany",119.3,109.5,120.3,113.4,115.6,TRUE
"14","Hans Muller","Germany",100.4,107.9,107.1,115.6,107.8,TRUE
"15","Leo Huber","Germany",117.5,114.6,113.4,125.2,117.7,TRUE
"16","Petra Berger","Austria",124.3,108.3,110.1,108.3,112.8,TRUE
"17","Karl Kovac","Austria",111.8,109.5,117.5,113.5,113.1,TRUE
"18","Hans Schneider","Austria",106.6,120.2,0,114,85.2,TRUE
"19","Felix Berger","Austria",116.1,116.2,107.5,113.3,113.3,TRUE
"20","Hans Stahl","Austria",111.8,103.5,111.3,128.8,113.8,TRUE
"21","Kari Novak","Italy",120,112.6,111,123.9,116.9,TRUE
"22","Johann Weber","Italy",118.6,101.5,105.7,98,106,TRUE
"23","Johann Weber","Italy",120.2,110.1,127.6,118.6,119.1,TRUE
"24","Karl Novak","Italy",103.4,102.2,106.9,104.6,104.3,TRUE
"25","Johann Berger","Italy",105.7,109.8,94.4,111.5,105.3,TRUE
"26","Hans Weber","Belarus",108.8,108.6,123.5,99.5,110.1,TRUE
"27","Kari Schneider","Belarus",113.3,118.5,120.8,110.9,115.9,TRUE
"28","Felix Virtanen","Belarus",108.7,113.1,119.3,111.4,113.1,TRUE
"29","Leo Hansen","Belarus",114.7,112.5,114,122.1,115.8,TRUE
"30","Petra Kovac","Belarus",111.6,120.6,108.5,102.4,110.8,TRUE
"31","Sven Muller","Switzerland",125.7,92.3,100.5,106.8,106.3,FALSE
"32","Kari Huber","Switzerland",117.7,104.7,115.5,97.9,109,TRUE
"33","Anna Schneider","Switzerland",117.3,108.1,120.6,95.5,110.4,TRUE
"34","Mika Hansen","Switzerland",111.4,102.5,114.3,110.4,109.7,TRUE
"35","Emma Volkov","Switzerland",107.3,113.1,122.6,118,115.2,TRUE
"36","Bjorn Lang","Slovenia",103.9,100.4,112.6,101.1,104.5,TRUE
"37","Kari Weber","Slovenia",102,104.7,107.1,114.7,107.1,TRUE
"38","Sven Schneider","Slovenia",104.7,116.1,111.2,115.6,111.9,TRUE
"39","Sven Virtanen","Slovenia",107.4,121.8,107.7,103.5,110.1,TRUE
"40","Olga Muller","Slovenia",107.5,114.2,116.1,119,114.2,TRUE
"41","Emma Schneider","Sweden",100.3,109.2,120,124.7,113.6,TRUE
"42","Karl Stahl","Sweden",94.1,106,111.5,103.4,103.8,TRUE
"43","Nina Virtanen","Sweden",112.1,119,121,110.2,115.6,TRUE
"44","Olga Stahl","Sweden",108.6,109.6,106.7,108.7,108.4,TRUE
"45","Karl Kovac","Sweden",102.6,104.4,104.3,111,105.6,FALSE
"46","Felix Kovac","Denmark",115.1,105.4,116.8,99.3,109.2,TRUE
"47","Johann Schneider","Denmark",109.3,90.6,102.9,91,98.4,TRUE
"48","Kari Stahl","Denmark",115.4,103,111.2,117.4,111.8,TRUE
"49","Karl Ricci","Denmark",119.4,117.1,98,122.4,114.2,TRUE
"50","Hans Fischer","Denmark",116.6,104.6,128.7,102.1,113,TRUE
