"txnID","date","cust","prod","qty","unitcost","country","repID"
1001,"9/14/2023","Eu Dolor Companie","Gerantrazeophem",1000,1.87,"Ecuador",887
1002,"9/13/2022","At Pretium LLC","Zalofen",1100,39,"USA",332
1003,"10/24/2022","Proin Dolor Institut","Diaprogenix",1900,0.04,"Germany",221
1004,"10/3/2023","At Pretium LLC","Diaprogenix",300,0.04,"USA",332
1005,"10/26/2021","Vitae Risus Incorporated","Xipramin",1400,0.72,"USA",203
1006,"6/9/2022","Vitae Risus Incorporated","Proxinostat",800,2.23,"USA",203
1007,"8/4/2021","Eastern Hospital Group","Bhiktarvizem",1000,3.87,"USA",119
1008,"6/21/2021","Luctus Aliquet Plc","Xinoprozen",200,2.82,"Brazil",887
1009,"3/23/2021","Eleifend GMBH","Xipralofen",1800,4.76,"Germany",100
1010,"9/20/2021","Proin Dolor Institut","Gerantrazeophem",1800,1.87,"Germany",221
1011,"10/12/2020","Adipiscing Mauris Inc.","Presterone",1700,1.09,"USA",203
1012,"9/5/2021","Nisl Quisque","Bhiktarvizem",1800,3.87,"Brazil",887
1013,"3/10/2023","Vitae Risus Incorporated","Zalofen",800,39,"USA",203
1014,"5/3/2020","Proin Dolor Institut","Diaprogenix",1800,0.04,"Germany",221
1015,"12/1/2020","Varius Plc","Diaprogenix",1800,0.04,"Brazil",887
1016,"1/2/2020","Varius Plc","Bhiktarvizem",400,3.87,"Brazil",887
1017,"10/12/2022","Varius Plc","Clobromizen",1400,1.44,"Brazil",887
1018,"2/18/2021","Lorem Luctus","Proxinostat",1800,2.23,"USA",332
1019,"6/8/2021","Eastern Hospital Group","Zalofen",1600,39,"USA",119
1020,"9/2/2022","Eastern Hospital Group","Bhiktarvizem",1600,3.87,"USA",119
1021,"6/22/2020","Vitae Risus Incorporated","Gerantrazeophem",1600,1.87,"USA",203
1022,"12/20/2022","Varius Plc","Diaprogenix",1600,0.04,"Brazil",887
1023,"2/26/2022","Adipiscing Mauris Inc.","Colophrazen",2000,1.23,"USA",203
1024,"11/8/2023","Enim PC","Diaprogenix",1500,0.04,"USA",203
1025,"6/21/2022","Barma Krankenhausgesellschaft","Presterone",300,1.09,"Austria",655
